year,STABBR,average_admission_rates
2010-11,Idaho,0.7910625
2010-11,Illinois,0.680884705882353
2010-11,Indiana,0.6651134328358209
2010-11,Kansas,0.7622821428571429
2010-11,Kentucky,0.6024375
2010-11,Louisiana,0.5825666666666667
2010-11,Massachusetts,0.5678188235294117
2010-11,Maryland,0.59085
2010-11,Maine,0.6672380952380952
2010-11,Michigan,0.6344843137254902
2010-11,Minnesota,0.7264808510638298
2010-11,Missouri,0.6781553846153846
2010-11,Mississippi,0.5541722222222222
2010-11,Montana,0.8060555555555555
2010-11,North Carolina,0.5993708333333333
2010-11,North Dakota,0.823975
2010-11,Nebraska,0.6795526315789474
2010-11,New Hampshire,0.6973666666666667
2010-11,New Jersey,0.6628565217391305
2010-11,New Mexico,0.6591333333333333
2010-11,Nevada,0.7342454545454545
2010-11,New York,0.632904
2010-11,Ohio,0.6844990099009901
2010-11,Oklahoma,0.6877529411764706
2010-11,Oregon,0.7414485714285715
2010-11,Pennsylvania,0.643394578313253
2010-11,Rhode Island,0.6157888888888889
2010-11,South Carolina,0.6556022727272727
2010-11,South Dakota,0.8183692307692307
2010-11,Tennessee,0.6664522388059702
2010-11,Texas,0.6309622448979592
2010-11,Utah,0.7616866666666666
2010-11,Virginia,0.620968253968254
2010-11,Vermont,0.7502777777777778
2010-11,Washington,0.6740870967741935
2010-11,Wisconsin,0.7637
2010-11,West Virginia,0.647132
2010-11,Wyoming,0.959
2011-12,Alaska,0.34575
2011-12,Alabama,0.694635294117647
2011-12,Arkansas,0.6810541666666666
2011-12,Arizona,0.7724272727272727
2011-12,California,0.6593984293193718
2011-12,Colorado,0.71775
2011-12,Connecticut,0.63761
2011-12,Delaware,0.52222
2011-12,Florida,0.658767415730337
2011-12,Georgia,0.6442323076923077
2011-12,Hawaii,0.69908
2011-12,Iowa,0.6582486486486486
2011-12,Idaho,0.8225333333333333
2011-12,Illinois,0.6606576470588236
2011-12,Indiana,0.7149969696969697
2011-12,Kansas,0.7538321428571428
2011-12,Kentucky,0.6637545454545455
2011-12,Louisiana,0.6375645161290323
2011-12,Massachusetts,0.5816011904761905
2011-12,Maryland,0.636915625
2011-12,Maine,0.6805238095238095
2011-12,Michigan,0.6872107142857142
2011-12,Minnesota,0.7073377777777777
2011-12,Missouri,0.698865625
2011-12,Mississippi,0.5564388888888889
2011-12,Montana,0.7871666666666667
2011-12,North Carolina,0.6036970588235294
2011-12,North Dakota,0.732625
2011-12,Nebraska,0.65071
2011-12,New Hampshire,0.6956384615384615
2011-12,New Jersey,0.7022134615384615
2011-12,New Mexico,0.7444777777777778
2011-12,Nevada,0.8052545454545454
2011-12,New York,0.6315635071090048
2011-12,Ohio,0.7231852941176471
2011-12,Oklahoma,0.7066133333333333
2011-12,Oregon,0.7111470588235295
2011-12,Pennsylvania,0.6773859550561798
2011-12,Rhode Island,0.65192
2011-12,South Carolina,0.6650744186046512
2011-12,South Dakota,0.8177666666666666
2011-12,Tennessee,0.6851306451612903
2011-12,Texas,0.6568028037383178
2011-12,Utah,0.7630272727272728
2011-12,Virginia,0.6564075757575758
2011-12,Vermont,0.7732
2011-12,Washington,0.7253277777777778
2011-12,Wisconsin,0.7661291666666666
2011-12,West Virginia,0.641725
2011-12,Wyoming,0.9539
2012-13,Alaska,0.6033999999999999
2012-13,Alabama,0.7034617647058824
2012-13,Arkansas,0.6910318181818181
2012-13,Arizona,0.8192954545454545
2012-13,California,0.6926079365079365
2012-13,Colorado,0.74926
2012-13,Connecticut,0.5749571428571428
2012-13,Delaware,0.55918
2012-13,Florida,0.6485404761904762
2012-13,Georgia,0.6260149253731343
2012-13,Hawaii,0.68961
2012-13,Iowa,0.66475
2012-13,Idaho,0.82546
2012-13,Illinois,0.6622
2012-13,Indiana,0.7057701754385965
2012-13,Kansas,0.7454821428571429
2012-13,Kentucky,0.6685125
2012-13,Louisiana,0.6388032258064517
2012-13,Massachusetts,0.5803494117647059
2012-13,Maryland,0.62479375
2012-13,Maine,0.6415047619047619
2012-13,Michigan,0.7162137931034482
2012-13,Minnesota,0.7072372093023256
2012-13,Missouri,0.6798112903225807
